,artist_id,artist,image,genres,popularity,link,followers
54,6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,https://i.scdn.co/image/ab6761610000e5eb3eed54e1eb0fed222434d867,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70,https://api.spotify.com/v1/artists/6f4XkbvYlXMH0QgVRzW0sM,2358233
55,4LLpKhyESsyAXpc4laK94U,Mac Miller,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a,"['hip hop', 'pittsburgh rap', 'rap']",88,https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U,7061215
56,5EiwfaQxmwjCyPLZ7i6kxW,Ayesha Erotica,https://i.scdn.co/image/ab6761610000e5eb8b1f7f4f389a674bfe1a9b4d,"['dance pop', 'pink noise', 'transpop']",61,https://api.spotify.com/v1/artists/5EiwfaQxmwjCyPLZ7i6kxW,302372
57,4o0pNHbyj36LPvukNqEug0,The Maine,https://i.scdn.co/image/ab6761610000e5eb8c90674b86ec8f34f019702d,"['modern alternative rock', 'modern rock', 'neon pop punk', 'pop emo', 'pop punk', 'pop rock', 'rock', 'tempe indie']",64,https://api.spotify.com/v1/artists/4o0pNHbyj36LPvukNqEug0,512831
58,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c,"['glam metal', 'hard rock', 'rock']",82,https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,23575354
59,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,"['dance pop', 'pop', 'uk pop']",93,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we,32273884
60,3zNM2tRfTX6LI1lN2PlrTt,Westside Connection,https://i.scdn.co/image/a7f34c1303821f7889443c61f0f31dc23a639de0,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",63,https://api.spotify.com/v1/artists/3zNM2tRfTX6LI1lN2PlrTt,1037187
61,6fC2AcsQtd9h4BWELbbire,Peach Pit,https://i.scdn.co/image/ab6761610000e5eb66fe5cb49c14d5cadb50ad50,"['indie pop', 'modern rock', 'rock', 'vancouver indie']",69,https://api.spotify.com/v1/artists/6fC2AcsQtd9h4BWELbbire,569212
62,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",90,https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5,15910488
63,2ptmyXoL7poH6Zq62h1QT9,Merle Haggard,https://i.scdn.co/image/3c40c48783d62db32dff0bd510250d7532b856ee,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",65,https://api.spotify.com/v1/artists/2ptmyXoL7poH6Zq62h1QT9,998572
64,3LIJJJkO7R5RasRwt7xIn5,Mystikal,https://i.scdn.co/image/99443414f1603cb47d783e1974148f3cb1de6f62,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'houston rap', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",61,https://api.spotify.com/v1/artists/3LIJJJkO7R5RasRwt7xIn5,529313
65,048FBwXjFYBWxSggPDipic,Maximo Park,https://i.scdn.co/image/ab6761610000e5eb2a6b572085e478e4bf91cc42,"['britpop', 'indie rock', 'modern rock', 'new rave', 'newcastle indie', 'rock']",54,https://api.spotify.com/v1/artists/048FBwXjFYBWxSggPDipic,215731
66,0NKDgy9j66h3DLnN8qu1bB,Eurythmics,https://i.scdn.co/image/ab6761610000e5eb145a01fb993c3088fe6ac5e7,"['art rock', 'dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",71,https://api.spotify.com/v1/artists/0NKDgy9j66h3DLnN8qu1bB,1470030
67,3ZotbHeyVQKxQCPDJuQ4SU,Q-Tip,https://i.scdn.co/image/de7804e485499fb93165fb84bb6d655232c561e2,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'neo soul', 'queens hip hop']",66,https://api.spotify.com/v1/artists/3ZotbHeyVQKxQCPDJuQ4SU,513318
68,3ciRvbBIVz9fBoPbtSYq4x,Lil Jon & The East Side Boyz,https://i.scdn.co/image/aafc4156598fa9f8f052ec5687e648ba9120f07e,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",66,https://api.spotify.com/v1/artists/3ciRvbBIVz9fBoPbtSYq4x,602181
69,50co4Is1HCEo8bhOyUWKpn,Young Thug,https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",91,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn,6989606
70,0ZZOIWyRv8tdx0kLPlTtMg,Ronnie McDowell,https://i.scdn.co/image/ab67616d0000b2736e260f4ef1ba8a4203c87220,"['classic country pop', 'country', 'country rock', 'swamp pop']",37,https://api.spotify.com/v1/artists/0ZZOIWyRv8tdx0kLPlTtMg,39884
71,4j7EVY3kuDwLPfD2jfC7LC,Toad The Wet Sprocket,https://i.scdn.co/image/ab6761610000e5ebd97fcaaafd3496a759996c92,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",54,https://api.spotify.com/v1/artists/4j7EVY3kuDwLPfD2jfC7LC,269462
72,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,https://i.scdn.co/image/ab6761610000e5eb854713444dd710e1fb4a1b69,"['alabama indie', 'modern blues rock', 'rock']",64,https://api.spotify.com/v1/artists/16GcWuvvybAoaHr0NqT8Eh,1503693
73,6Pys4xsyQVA5ZjkN2Ka2S7,Hal Ketchum,https://i.scdn.co/image/d822d64989ab15c00c04b1b48c515ccea12b0db7,"['country', 'country rock']",49,https://api.spotify.com/v1/artists/6Pys4xsyQVA5ZjkN2Ka2S7,78090
74,3g229vTyhsdwm9SO2p1FPL,Lee Greenwood,https://i.scdn.co/image/ab6761610000e5eb5a361de06fdd9451afd94e2b,"['country', 'country rock']",48,https://api.spotify.com/v1/artists/3g229vTyhsdwm9SO2p1FPL,42797
75,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,https://i.scdn.co/image/ab6761610000e5eb55d1c6092ceb9ce09c32ec5e,"['contemporary country', 'country', 'pop', 'texas country']",78,https://api.spotify.com/v1/artists/6WY7D3jk8zTrHtmkqqo5GI,630632
76,3dBVyJ7JuOMt4GE9607Qin,T. Rex,https://i.scdn.co/image/ab6761610000e5eb2895a754732b141ea88fc01d,"['art rock', 'blues rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",65,https://api.spotify.com/v1/artists/3dBVyJ7JuOMt4GE9607Qin,794579
77,0tgaHqkU1p7QhBUIzKXVU9,The Marcus King Band,https://i.scdn.co/image/ab6761610000e5ebee7b218a21595886d128dac7,"['modern blues', 'modern blues rock', 'rock']",56,https://api.spotify.com/v1/artists/0tgaHqkU1p7QhBUIzKXVU9,166843
78,0XTSrpKEUhzQ5aiYswppxh,Hieroglyphics,https://i.scdn.co/image/ab6761610000e5eb09cfc2da310368fd6a6dce39,"['abstract hip hop', 'alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'turntablism', 'underground rap']",48,https://api.spotify.com/v1/artists/0XTSrpKEUhzQ5aiYswppxh,172457
79,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,https://i.scdn.co/image/ab6761610000e5eb194fcad1eb614d9eba7de1cb,"['contemporary country', 'country', 'country road']",75,https://api.spotify.com/v1/artists/6roFdX1y5BYSbp60OTJWMd,3886605
80,0IXabnQgJf7eO1hIF71YS9,Freestyle Fellowship,https://i.scdn.co/image/ab6761610000e5eb964e296bbd1d1ab5d9216b9f,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'jazz rap', 'turntablism']",34,https://api.spotify.com/v1/artists/0IXabnQgJf7eO1hIF71YS9,39543
81,0DchahWJGQqrqr8PMM5zQD,Johnny Paycheck,https://i.scdn.co/image/35b20170961c62d7b35ed386a0e100b8544ce353,"['country', 'country rock', 'outlaw country']",54,https://api.spotify.com/v1/artists/0DchahWJGQqrqr8PMM5zQD,279931
82,7zICaxnDB9ZprDSiFpvbbW,Master P,https://i.scdn.co/image/a1e9e07e5866f67d1e53515aa488d1d46883ad1d,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",59,https://api.spotify.com/v1/artists/7zICaxnDB9ZprDSiFpvbbW,806539
83,27w1NoOLMX7tJMYqcetPyG,VIC MENSA,https://i.scdn.co/image/ab6761610000e5eb3838a1b0ee0c6ccf11834de7,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",67,https://api.spotify.com/v1/artists/27w1NoOLMX7tJMYqcetPyG,576302
84,2BQVRw9md4UKcGUrDXABCD,Tracy Lawrence,https://i.scdn.co/image/ab6761610000e5eb00eff7817501deabdcf2eb31,"['arkansas country', 'contemporary country', 'country', 'country road', 'country rock']",62,https://api.spotify.com/v1/artists/2BQVRw9md4UKcGUrDXABCD,800734
85,6xS5PpBWaVYraexEkEjjXv,Maxo Kream,https://i.scdn.co/image/ab6761610000e5ebda1fb9f98253581afbc6ce23,"['hip hop', 'houston rap', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",64,https://api.spotify.com/v1/artists/6xS5PpBWaVYraexEkEjjXv,393773
86,2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,https://i.scdn.co/image/ab6761610000e5ebb62f45887d003e15cdb75696,"['modern rock', 'rap metal', 'rock']",75,https://api.spotify.com/v1/artists/2CmaKO2zEGJ1NWpS1yfVGz,1997788
87,6xvpfMjWTougrRRtK7iikz,Mason Ramsey,https://i.scdn.co/image/ab6761610000e5eb3dcc0227b0d30312503ea70f,"['contemporary country', 'country']",65,https://api.spotify.com/v1/artists/6xvpfMjWTougrRRtK7iikz,131359
88,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,https://i.scdn.co/image/8a0d2c9a5bb08a3fd8e6ad457014022cb232525b,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'underground hip hop', 'west coast rap']",73,https://api.spotify.com/v1/artists/0eVyjRhzZKke2KFYTcDkeu,320245
